id,番号,種別,保育園名,住　　所,電話番号,定員,開所,時間外,終了時間,園バス,緯度,経度,備考
24,k-24,公立保育園一覧,東郷保育園,東郷二ケ町37-18,41-0152,70,7:30,16:00?18:00,18:30,,36.0155387,136.2730305,公立保育園一覧№24
25,k-25,公立保育園一覧,文殊保育園,太田町14-1,38-0221,45,7:30,16:00?18:00,18:30,,36.0116493,136.2302258,公立保育園一覧№25
26,k-26,公立保育園一覧,森田栄保育園,栄町2-22,56-2244,90,7:30,16:00?18:00,18:30,,36.1077284,136.2230384,公立保育園一覧№26
27,k-27,公立保育園一覧,みやま保育園,境寺町36-3,90-1361,100,7:00,16:00?18:00,19:00,有,35.9982556,136.3645152,公立保育園一覧№27
28,k-28,公立保育園一覧,清水保育園（公設民営）,風巻町28-5,98-3660,180,7:00,16:00?18:00,19:00,有　,36.0275454,136.1480883,公立保育園一覧№28
29,s-1,私立保育園一覧,鹿苑第一保育園,みのり2丁目3-44,35-2059,90,7:00,16:00?18:00,18:30,,36.05095092,136.213544,私立保育園一覧表№1
30,s-2,私立保育園一覧,若草保育園,城東2丁目10-13,22-6485,90,7:30,16:00?18:00,19:00,,36.0601904,136.2360096,私立保育園一覧表№2
31,s-3,私立保育園一覧,緑ヶ丘保育園,鮎川町92-22,88-2050,30,7:00,16:00?18:00,18:30,,36.09191501,136.0336643,私立保育園一覧表№3
32,s-4,私立保育園一覧,ひまわり保育園,足羽3丁目2-28,35-2417,120,7:00,16:00?18:00,19:00,有,36.0569678,136.2049706,私立保育園一覧表№4
33,s-5,私立保育園一覧,中藤保育園,高木北4丁目301－1,54-5540,140,7:00,16:00?18:00,18:30,有,36.0965165,136.2350651,私立保育園一覧表№5
34,s-6,私立保育園一覧,社中央保育園,渕4丁目1005,36-0695,120,7:00,16:00?18:00,18:30,有,36.0454272,136.1845505,私立保育園一覧表№6
35,s-7,私立保育園一覧,ゆりかご保育園,灯明寺3丁目2515,25-2717,150,7:00,16:00?18:00,19:00,,36.09678938,136.2125516,私立保育園一覧表№7
36,s-8,私立保育園一覧,西光寺保育園,左内町8-21,36-1528,60,7:00,16:00?18:00,19:00,有,36.05833232,136.2129405,私立保育園一覧表№8
37,s-9,私立保育園一覧,いずみ保育園,若杉浜2丁目302,35-0123,90,7:00,16:00?18:00,19:00,,36.062142,136.1869474,私立保育園一覧表№9
38,s-10,私立保育園一覧,新田塚保育園,新田塚1丁目42-1,21-1373,130,7:00,16:00?18:00,19:00,,36.09272995,136.2056127,私立保育園一覧表№10
39,s-11,私立保育園一覧,文京保育園,文京4丁目9-14,22-4730,90,7:00,16:00?18:00,19:00,,36.0759848,136.2092394,私立保育園一覧表№11
40,s-12,私立保育園一覧,竹里保育園,成和1丁目303,26-1364,120,7:30,16:00?18:00,18:30,,36.0586104,136.2448092,私立保育園一覧表№12
